localizacao,genero,data
"Braga, Portugal",Male,**/12/1996
"Västra Götaland, Sweden",Male,**/08/2006
"West Virginia, United States",Female,**/**/1982
"Alsace, France",Male,**/08/1981
"Viseu, Portugal",Female,**/**/1992
"Viana do Castelo, Portugal",Male,**/**/1996
"Québec, Canada",Male,**/**/1981
"Centre, France",Female,**/02/1996
"Örebro, Sweden",Male,**/07/2004
"Ontario, Canada",Male,**/11/1980
"Ontario, Canada",Female,**/08/1988
"Leiria, Portugal",Female,**/**/1983
"Bragança, Portugal",Female,**/**/1994
"New Brunswick, Canada",Female,**/06/1996
"Picardie, France",Male,**/**/1987
"Franche-Comté, France",Female,**/**/2007
United States,Male,**/07/2004
"Skåne, Sweden",Male,**/**/1988
"Lorraine, France",Female,**/07/1985
"Bretagne, France",Male,**/**/1999
"Nantes, Pays de la Loire, France",Male,**/09/1994
"Québec, Canada",Male,**/03/2008
"Pennsylvania, United States",Male,**/10/1986
"Ohio, United States",Male,**/09/1988
"Santarém, Portugal",Female,**/11/2000
"Limousin, France",Female,**/05/2003
"Ontario, Canada",Male,**/**/1981
United States,Male,**/**/1987
United States,Female,**/08/1999
"Ontario, Canada",Female,**/11/2007
"Pays de la Loire, France",Female,**/06/1984
"Oaxaca, Mexico",Female,**/05/1994
"Braga, Portugal",Female,**/07/1988
"Stockholm, Sweden",Female,**/05/1995
"Castelo Branco, Portugal",Female,**/03/2010
"Marseille, Provence-Alpes-Côte d'Azur, France",Female,**/**/1992
"Provence-Alpes-Côte d'Azur, France",Male,**/**/2003
"Västerbotten, Sweden",Male,**/09/1999
"Västernorrland, Sweden",Male,**/**/2004
"California, United States",Male,**/**/2008
"Île-de-France, France",Male,**/**/2009
"Stockholm, Stockholm, Sweden",Male,**/**/1991
"Viana do Castelo, Portugal",Male,**/**/1982
"Québec, Canada",Male,**/06/1984
"New York, United States",Female,**/**/2001
"Missouri, United States",Male,**/**/2000
"Porto, Portugal",Female,**/08/2005
"Östergötland, Sweden",Male,**/11/2000
"Ilha de São Miguel, Portugal",Female,**/**/1993
Portugal,Male,**/10/1994
"Chiapas, Mexico",Male,**/**/1999
"Florida, United States",Female,**/10/1997
"Centre, France",Female,**/**/2010
"Guadalupe, Oaxaca, Mexico",Female,**/05/1995
"Guadalupe, Chihuahua, Mexico",Female,**/**/1986
"Île-de-France, France",Male,**/**/1983
"Coimbra, Portugal",Female,**/02/1981
"Île-de-France, France",Male,**/07/2000
"Coahuila De Zaragoza, Mexico",Female,**/03/1998
"Île-de-France, France",Female,**/11/2009
"Västra Götaland, Sweden",Female,**/**/1990
"Pays de la Loire, France",Female,**/**/2000
"Florida, United States",Female,**/**/2004
"North Carolina, United States",Male,**/**/1997
"Texas, United States",Female,**/**/1987
"California, United States",Male,**/01/1981
"Stockholm, Sweden",Male,**/**/1984
"Skåne, Sweden",Female,**/12/1982
"Göteborg, Västra Götaland, Sweden",Male,**/06/1985
"Kentucky, United States",Female,**/**/1981
United States,Female,**/**/1994
"Västerbotten, Sweden",Male,**/**/1999
"Pays de la Loire, France",Male,**/12/1996
"Coimbra, Portugal",Female,**/**/1992
"Setúbal, Portugal",Male,**/12/1984
"Stockholm, Stockholm, Sweden",Female,**/07/1985
"Québec, Canada",Male,**/**/2006
"Besançon, Franche-Comté, France",Female,**/08/1999
"Coimbra, Portugal",Female,**/12/1996
"Ilha de São Miguel, Portugal",Male,**/04/2001
"Leiria, Portugal",Male,**/04/1989
"Tulsa, Oklahoma, United States",Female,**/**/1995
"Vila Real, Portugal",Male,**/05/2005
"Santarém, Portugal",Female,**/10/2000
"Rhône-Alpes, France",Female,**/**/2001
"Porto, Portugal",Male,**/08/1982
"Leiria, Portugal",Male,**/04/1995
"Norrbotten, Sweden",Male,**/**/1988
"Ontario, Canada",Female,**/10/2000
"Stockholm, Sweden",Female,**/01/1994
"Göteborg, Västra Götaland, Sweden",Male,**/09/2003
France,Female,**/**/1989
"Braga, Portugal",Male,**/10/1980
"Lisboa, Portugal",Female,**/05/2004
"Värmland, Sweden",Female,**/06/1985
"Alberta, Canada",Female,**/07/1985
"Rhône-Alpes, France",Male,**/11/1998
"Västerbotten, Sweden",Female,**/**/1982
"Västra Götaland, Sweden",Female,**/02/2002
"Guadalupe, Chiapas, Mexico",Female,**/**/1995
"Dalarna, Sweden",Male,**/09/1993
"Lisboa, Portugal",Male,**/**/1997
"Île-de-France, France",Male,**/11/1990
"Alberta, Canada",Male,**/05/1998
"Île-de-France, France",Male,**/01/1998
"Lisboa, Portugal",Female,**/**/2007
"Texas, United States",Female,**/01/1985
"Limousin, France",Male,**/03/1986
"Skåne, Sweden",Male,**/**/1983
"Texas, United States",Female,**/**/1982
United States,Female,**/**/1995
"Orléans, Centre, France",Female,**/11/2005
"Lindavista, Oaxaca, Mexico",Female,**/**/1990
"Marseille, Provence-Alpes-Côte d'Azur, France",Female,**/**/1991
"Västra Götaland, Sweden",Male,**/11/1985
"Centre, France",Female,**/03/1986
"Emiliano Zapata, Michoacan De Ocampo, Mexico",Female,**/**/2006
"Halland, Sweden",Female,**/**/1998
"Guerrero, Mexico",Male,**/**/1984
"Göteborg, Västra Götaland, Sweden",Female,**/03/1986
Mexico,Female,**/10/2000
"Newfoundland and Labrador, Canada",Female,**/10/1985
"Faro, Portugal",Female,**/**/1990
Mexico,Female,**/08/2003
"Missouri, United States",Female,**/08/2008
"Provence-Alpes-Côte d'Azur, France",Female,**/10/2003
"Rhône-Alpes, France",Female,**/11/1995
"Bretagne, France",Male,**/08/1999
"Île-de-France, France",Male,**/**/2005
"Pennsylvania, United States",Female,**/**/1983
"Michoacan De Ocampo, Mexico",Male,**/**/1989
"Kalmar, Sweden",Female,**/**/2007
"Ontario, Canada",Female,**/**/1994
"Porto, Portugal",Female,**/05/1995
"Limousin, France",Male,**/**/1998
"Lisboa, Portugal",Male,**/10/1989
"Poitou-Charentes, France",Female,**/08/1981
"Pennsylvania, United States",Male,**/03/1995
"California, United States",Female,**/10/1989
"California, United States",Male,**/07/1993
"Metz, Lorraine, France",Male,**/03/1982
"Setúbal, Portugal",Female,**/**/2002
"Beja, Portugal",Male,**/**/1982
"Braga, Portugal",Male,**/03/2008
"Québec, Canada",Female,**/09/1992
"Porto, Portugal",Female,**/05/2008
"Porto, Portugal",Female,**/03/1986
"Ilha de São Miguel, Portugal",Female,**/09/1988
"Texas, United States",Male,**/10/1986
"Orléans, Centre, France",Male,**/11/2009
"Florida, United States",Male,**/10/1991
"Lyon, Rhône-Alpes, France",Female,**/06/1991
"Île-de-France, France",Female,**/06/1984
"Dalarna, Sweden",Male,**/10/1986
"Île-de-France, France",Female,**/12/1986
"Nice, Provence-Alpes-Côte d'Azur, France",Male,**/03/1995
"Täby, Stockholm, Sweden",Female,**/11/1987
"Braga, Portugal",Female,**/**/1986
"Coimbra, Portugal",Female,**/11/2005
France,Female,**/10/1993
"Limousin, France",Male,**/02/1991
"Aveiro, Portugal",Female,**/06/1996
Canada,Male,**/03/2002
"Vila Real, Portugal",Male,**/**/2005
"California, United States",Female,**/11/2004
"Göteborg, Västra Götaland, Sweden",Male,**/**/1990
"Västra Götaland, Sweden",Male,**/**/2001
"Nord-Pas-de-Calais, France",Female,**/08/2005
"Saskatchewan, Canada",Male,**/**/1986
"Porto, Portugal",Male,**/01/1988
"Veracruz Llave, Mexico",Female,**/**/1984
"Ilha de São Miguel, Portugal",Female,**/**/1988
"Porto, Portugal",Male,**/02/1997
"Mexico, Mexico",Male,**/**/2001
"Ontario, Canada",Female,**/09/1994
"Oaxaca, Mexico",Male,**/12/1995
"Québec, Canada",Male,**/05/2005
"Stockholm, Stockholm, Sweden",Female,**/01/1998
United States,Female,**/**/2002
"Porto, Portugal",Female,**/**/2003
"Florida, United States",Female,**/**/1998
"Lyon, Rhône-Alpes, France",Male,**/03/1998
"Coimbra, Portugal",Male,**/08/1994
Portugal,Female,**/10/1980
"New York, United States",Female,**/**/2004
"Uppsala, Sweden",Female,**/03/2004
"Missouri, United States",Male,**/**/1995
"Viana do Castelo, Portugal",Male,**/**/1983
"Alberta, Canada",Female,**/07/2001
"Porto, Portugal",Female,**/12/1995
"Stockholm, Sweden",Female,**/12/1986
"West Virginia, United States",Female,**/**/1991
"Chiapas, Mexico",Female,**/**/2005
"Porto, Portugal",Female,**/**/1983
"British Columbia, Canada",Male,**/**/1982
"Guerrero, Mexico",Female,**/06/1985
United States,Male,**/04/1981
"Eskilstuna, Södermanland, Sweden",Female,**/**/2003
"Lisboa, Portugal",Male,**/05/1994
"Porto, Portugal",Male,**/**/1999
United States,Male,**/**/1984
"Aquitaine, France",Female,**/**/1986
United States,Female,**/07/1988
"Göteborg, Västra Götaland, Sweden",Female,**/**/1992
"Norrbotten, Sweden",Male,**/**/1999
"Québec, Canada",Female,**/**/1981
"Québec, Canada",Female,**/**/1987
"Nord-Pas-de-Calais, France",Male,**/**/2004
"Veracruz Llave, Mexico",Female,**/**/2008
"Bragança, Portugal",Male,**/11/1987
"Coimbra, Portugal",Female,**/**/2000
"Virginia, United States",Female,**/08/1994
"Porto, Portugal",Female,**/**/1990
"Provence-Alpes-Côte d'Azur, France",Female,**/05/1999
"Västra Götaland, Sweden",Female,**/**/1992
"Manitoba, Canada",Male,**/**/1986
"Île-de-France, France",Female,**/07/1996
"Västra Götaland, Sweden",Male,**/03/1989
"Uppsala, Uppsala, Sweden",Female,**/06/2005
"Södermanland, Sweden",Male,**/**/1982
Canada,Male,**/**/2005
"Languedoc-Roussillon, France",Male,**/**/1992
"Coimbra, Portugal",Female,**/05/1983
"Skåne, Sweden",Female,**/10/1990
"Porto, Portugal",Female,**/**/2008
"Santarém, Portugal",Male,**/03/1998
"Lisboa, Portugal",Male,**/09/2003
"Alberta, Canada",Female,**/**/2001
"Île-de-France, France",Male,**/**/2007
"Östergötland, Sweden",Female,**/02/1989
United States,Female,**/11/1981
"Île-de-France, France",Male,**/06/2010
"Cergy-Pontoise, Île-de-France, France",Female,**/**/1983
"Rhône-Alpes, France",Female,**/04/1989
"Metz, Lorraine, France",Female,**/**/1997
"Rhône-Alpes, France",Female,**/11/2000
"Québec, Canada",Female,**/03/1998
"New Brunswick, Canada",Female,**/**/2002
"Stockholm, Stockholm, Sweden",Female,**/**/1996
"Igreja, Aveiro, Portugal",Female,**/06/2002
"Ontario, Canada",Male,**/**/1995
"Coahuila De Zaragoza, Mexico",Male,**/06/2005
"Alberta, Canada",Male,**/**/1995
"Provence-Alpes-Côte d'Azur, France",Female,**/12/1984
"Värmland, Sweden",Female,**/11/1990
"Texas, United States",Male,**/04/1981
"Viseu, Portugal",Female,**/**/1987
"Santarém, Portugal",Female,**/10/1980
"Örebro, Sweden",Female,**/07/2001
"Nice, Provence-Alpes-Côte d'Azur, France",Male,**/03/2003
"Faro, Portugal",Male,**/**/1994
"Emiliano Zapata, Guanajuato, Mexico",Male,**/**/1991
"Faro, Portugal",Female,**/**/1991
"Ohio, United States",Female,**/**/1986
"Mexico, Mexico",Male,**/**/2000
Portugal,Female,**/08/1982
"Alberta, Canada",Female,**/05/2005
"Vila Real, Portugal",Female,**/09/1982
"Alsace, France",Male,**/07/2007
"Centre, France",Male,**/**/2002
"Guanajuato, Mexico",Male,**/04/2000
United States,Male,**/10/1981
"Setúbal, Portugal",Female,**/**/1997
Portugal,Male,**/06/2009
"Languedoc-Roussillon, France",Female,**/08/2003
Mexico,Female,**/**/1996
"Dalarna, Sweden",Female,**/**/2006
"Texas, United States",Female,**/12/1986
Canada,Female,**/**/1998
"Ontario, Canada",Female,**/**/2001
"New York, United States",Female,**/**/2005
"West Virginia, United States",Male,**/**/2007
"Västra Götaland, Sweden",Male,**/03/1994
"Stockholm, Sweden",Male,**/**/1992
"Viana do Castelo, Portugal",Male,**/06/1985
"Dalarna, Sweden",Male,**/**/1987
"Tamaulipas, Mexico",Male,**/**/1987
"Michoacan De Ocampo, Mexico",Female,**/11/2005
"Mexico, Mexico",Female,**/**/2001
France,Male,**/03/2010
"Île-de-France, France",Male,**/02/2010
"Porto, Portugal",Male,**/**/1987
"Göteborg, Västra Götaland, Sweden",Female,**/**/2003
"Île-de-France, France",Female,**/10/1993
"Alsace, France",Female,**/01/1987
"Michoacan De Ocampo, Mexico",Female,**/07/2007
"Pennsylvania, United States",Female,**/11/2005
"Veracruz Llave, Mexico",Male,**/04/1989
"Île-de-France, France",Female,**/**/2006
"Languedoc-Roussillon, France",Female,**/06/2002
"Faro, Portugal",Female,**/05/1990
"Picardie, France",Male,**/07/2004
"Stockholm, Stockholm, Sweden",Female,**/09/1992
"Göteborg, Västra Götaland, Sweden",Female,**/01/1985
"Languedoc-Roussillon, France",Female,**/**/1996
"Québec, Canada",Male,**/03/1994
"Provence-Alpes-Côte d'Azur, France",Male,**/**/1984
"Viseu, Portugal",Female,**/09/2005
United States,Male,**/10/1981
United States,Female,**/09/2005
"Täby, Stockholm, Sweden",Male,**/12/1995
"Aquitaine, France",Male,**/11/2007
"Basse-Normandie, France",Female,**/10/1985
"Kalmar, Sweden",Female,**/11/1987
"Stockholm, Sweden",Male,**/01/1983
"North Carolina, United States",Male,**/**/1991
"Texas, United States",Male,**/06/1985
"Jönköping, Sweden",Female,**/06/1985
Sweden,Female,**/05/2007
"Porto, Portugal",Male,**/**/1981
"Jönköping, Sweden",Female,**/01/1985
"Braga, Portugal",Female,**/**/1995
"Île-de-France, France",Female,**/05/2003
"Île-de-France, France",Female,**/**/1999
"Porto, Portugal",Male,**/**/1983
United States,Female,**/10/1997
"Coimbra, Portugal",Female,**/07/2000
Canada,Male,**/05/1998
"Rhône-Alpes, France",Male,**/11/1995
"Stockholm, Sweden",Male,**/**/1997
United States,Female,**/**/2009
"Viseu, Portugal",Male,**/12/1986
"Setúbal, Portugal",Male,**/**/1994
"Coimbra, Portugal",Male,**/08/2006
"Basse-Normandie, France",Male,**/**/2007
"England, United Kingdom",Male,**/05/2007
"Porto, Portugal",Female,**/**/1985
"California, United States",Female,**/**/1995
"Nord-Pas-de-Calais, France",Female,**/**/1997
"San Francisco, Guanajuato, Mexico",Male,**/**/1992
"Ontario, Canada",Male,**/**/1992
"Setúbal, Portugal",Female,**/**/1988
"Orléans, Centre, France",Female,**/04/1999
"Québec, Canada",Male,**/**/2006
"Lisboa, Portugal",Female,**/02/1989
"Porto, Portugal",Male,**/**/2003
"New Brunswick, Canada",Female,**/07/2007
"Braga, Portugal",Female,**/07/2000
"Aveiro, Portugal",Female,**/**/2002
"San Francisco, California, United States",Male,**/09/1989
"Lyon, Rhône-Alpes, France",Male,**/**/1988
"Västmanland, Sweden",Male,**/**/1987
"Skåne, Sweden",Female,**/08/1988
"Picardie, France",Female,**/01/1981
"Stockholm, Sweden",Female,**/03/2002
"Skåne, Sweden",Female,**/01/1998
"British Columbia, Canada",Male,**/08/2003
"Ilha de São Miguel, Portugal",Female,**/05/2008
"Viseu, Portugal",Male,**/04/1995
"British Columbia, Canada",Male,**/05/2004
United States,Female,**/05/2004
"New York, United States",Male,**/01/2007
"Languedoc-Roussillon, France",Female,**/08/2003
"Porto, Portugal",Female,**/08/1982
"Florida, United States",Male,**/03/1998
"Västmanland, Sweden",Male,**/03/2002
United States,Male,**/03/1989
United Kingdom,Female,**/01/1985
"Kentucky, United States",Female,**/05/2007
"Faro, Portugal",Male,**/10/1991
Mexico,Female,**/**/2009
Portugal,Female,**/**/1997
"Québec, Canada",Female,**/04/1995
