localizacao,genero,data,salario
"**,**,Portugal",Feminino,**/**/****,$4022.26
"**,**,Portugal",Masculino,**/**/****,$2420.72
"**,**,**",Feminino,**/**/****,$1348.47
"**,**,**",*,**/**/****,$5536.87
"**,**,**",Masculino,**/**/****,$6445.22
"**,**,France",*,**/**/****,$5323.97
"**,**,**",*,**/**/****,$7170.52
"**,**,**",Feminino,**/**/****,$6432.81
"**,**,**",*,**/**/****,$7653.00
"**,**,**",Feminino,**/**/****,$4627.92
"**,**,**",Feminino,**/**/****,$7983.68
"**,**,**",*,**/**/****,$1586.61
"**,**,**",Feminino,**/**/****,$6964.99
"**,**,Canada",*,**/**/****,$4094.94
"**,**,**",Feminino,**/**/****,$983.67
"**,**,Mexico",Feminino,**/**/****,$2858.06
"**,**,**",Masculino,**/**/1994,$4504.29
"**,**,**",Masculino,**/**/****,$5383.93
"**,**,**",Feminino,**/**/****,$4100.69
"**,**,Portugal",*,**/**/****,$6999.54
"**,**,France",*,**/**/****,$4254.84
"**,**,**",Feminino,**/**/****,$6144.12
"**,**,**",*,**/**/****,$1247.98
"**,**,**",*,**/**/****,$7209.03
"**,**,Mexico",Feminino,**/**/****,$2076.62
"**,**,France",Feminino,**/**/****,$4160.18
"**,**,France",*,**/**/****,$5054.87
"**,**,**",Feminino,**/**/****,$1676.91
"**,**,Portugal",*,**/**/****,$7622.47
"**,**,**",*,**/**/****,$2260.68
"**,**,**",Masculino,**/**/****,$4862.69
"**,**,France",Feminino,**/**/****,$7595.55
"**,**,**",Masculino,**/**/****,$4389.71
"**,**,**",Feminino,**/**/****,$2293.48
"**,Setúbal,Portugal",Masculino,**/**/****,$3573.26
"**,**,**",Feminino,**/**/****,$6974.65
"**,**,Sweden",Feminino,**/**/****,$5609.60
"**,**,**",Masculino,**/**/****,$6963.88
"**,**,**",Masculino,**/**/****,$2161.64
"**,**,**",Feminino,**/**/****,$7913.17
"**,**,**",*,**/**/****,$6686.36
"**,**,Portugal",Masculino,**/**/****,$6691.57
"**,**,**",*,**/**/****,$7386.55
"**,**,Canada",Feminino,**/**/****,$7292.50
"**,**,**",Feminino,**/**/****,$3615.07
"**,**,Portugal",Feminino,**/**/****,$1488.42
"**,**,France",Feminino,**/**/****,$2236.23
"**,**,**",Feminino,**/**/****,$2184.75
"**,**,**",*,**/**/****,$6642.44
"**,**,**",*,**/**/****,$4077.84
"**,**,**",*,**/**/****,$7376.21
"**,**,**",Masculino,**/**/****,$7922.29
"**,**,**",Feminino,**/**/****,$6340.24
"**,**,**",Feminino,**/**/****,$2137.01
"**,**,**",*,**/**/****,$1558.87
"**,**,Portugal",Feminino,**/**/****,$1973.45
"**,**,**",Masculino,**/**/****,$5214.50
"**,**,Portugal",Feminino,**/**/****,$5788.73
"**,**,Portugal",Masculino,**/**/****,$6314.95
"**,**,**",*,**/**/****,$3562.87
"**,**,**",Masculino,**/**/****,$7973.93
"**,**,**",*,**/**/****,$6553.93
"**,**,**",*,**/**/****,$1129.83
"**,**,France",*,**/**/****,$5485.14
"**,**,Portugal",Masculino,**/**/****,$4578.33
"**,**,**",Feminino,**/**/****,$5737.46
"**,**,**",*,**/**/****,$4879.99
"**,**,Sweden",Feminino,**/**/****,$4966.48
"**,**,**",Feminino,**/**/****,$5240.94
"**,**,Sweden",*,**/**/****,$4109.65
"**,**,**",Masculino,**/**/****,$6492.17
"**,**,France",*,**/**/****,$6889.74
"**,**,Sweden",Feminino,**/**/****,$1916.17
"**,**,Portugal",Masculino,**/**/****,$6026.38
"**,**,**",Feminino,**/**/****,$7268.00
"**,**,France",Feminino,**/**/****,$1238.66
"**,**,**",Masculino,**/**/****,$3076.92
"**,**,**",Masculino,**/**/****,$5745.78
"**,**,**",Feminino,**/**/****,$4240.55
"**,**,Portugal",Feminino,**/**/****,$1665.32
"**,**,Sweden",*,**/**/****,$1574.30
"**,**,Portugal",Masculino,**/**/****,$3526.69
"**,**,**",Feminino,**/**/****,$5751.78
"**,**,Portugal",Masculino,**/**/****,$7345.49
"**,**,France",Feminino,**/**/****,$4480.55
"**,**,**",*,**/**/****,$4907.54
"**,**,Canada",Feminino,**/**/****,$5727.15
"**,**,**",Feminino,**/**/****,$1144.42
"**,**,**",Masculino,**/**/****,$4430.56
"**,**,**",Masculino,**/**/****,$3003.76
"**,**,Portugal",*,**/**/****,$1245.80
"**,**,Mexico",Feminino,**/**/****,$7018.06
"**,**,**",*,**/**/****,$3602.31
"**,**,France",*,**/**/****,$7665.32
"**,**,**",Feminino,**/**/****,$5677.54
"**,**,Sweden",*,**/**/****,$4407.88
"**,**,**",*,**/**/****,$2729.76
"**,**,Sweden",Feminino,**/**/****,$2809.72
"**,**,**",Masculino,**/**/****,$6383.39
"**,Braga,Portugal",Feminino,**/**/****,$7327.12
"**,**,Portugal",Feminino,**/**/****,$3878.76
"**,**,**",Masculino,**/**/****,$6680.18
"**,**,**",Feminino,**/**/****,$7582.88
"**,**,**",Masculino,**/**/****,$4663.81
"**,**,**",*,**/**/****,$3389.21
"**,**,Portugal",Masculino,**/**/****,$6584.92
"**,Setúbal,Portugal",Masculino,**/**/****,$5932.94
"**,**,France",*,**/**/****,$1841.41
"**,**,**",*,**/**/****,$943.67
"**,**,**",Masculino,**/**/****,$7540.04
"**,**,**",Feminino,**/**/****,$2350.70
"**,**,Portugal",*,**/**/****,$7917.34
"**,**,**",*,**/**/****,$1319.03
"**,**,**",Masculino,**/**/****,$1492.88
"**,**,Sweden",Feminino,**/**/****,$7718.13
"**,**,Portugal",Feminino,**/**/****,$3296.00
"**,**,**",*,**/**/****,$5946.05
"**,**,**",Masculino,**/**/****,$7175.98
"**,**,**",Feminino,**/**/****,$7046.63
"**,**,France",*,**/**/****,$3542.00
"**,**,**",Masculino,**/**/****,$2411.09
"**,**,France",Masculino,**/**/****,$5825.49
"**,**,Portugal",Feminino,**/**/****,$4332.69
"**,**,**",Feminino,**/**/****,$2495.07
"**,**,**",Feminino,**/**/****,$5152.79
"**,**,**",Feminino,**/**/****,$3525.88
"**,**,**",Feminino,**/**/****,$7096.91
"**,**,Portugal",Feminino,**/**/****,$4302.66
"**,**,**",Feminino,**/**/****,$7760.46
"**,**,**",*,**/**/****,$3911.50
"**,**,**",*,**/**/****,$5974.55
"**,**,**",*,**/**/****,$4682.04
"**,**,United States",Masculino,**/**/****,$5236.49
"**,**,**",Masculino,**/**/****,$3408.00
"**,**,**",Masculino,**/**/****,$6874.81
"**,**,**",*,**/**/****,$1353.19
"**,**,France",*,**/**/****,$3316.55
"**,**,Sweden",Feminino,**/**/****,$7586.61
"**,**,**",Feminino,**/**/****,$6062.26
"**,**,**",Feminino,**/**/****,$3027.02
"**,**,**",Feminino,**/**/****,$2422.65
"**,**,Portugal",Masculino,**/**/****,$2866.63
"**,**,France",Feminino,**/**/****,$1484.69
"**,**,France",Feminino,**/**/****,$6325.50
"**,**,**",Masculino,**/**/****,$6712.81
"**,**,Canada",*,**/**/****,$1786.57
"**,**,**",Feminino,**/**/****,$2654.98
"**,**,Portugal",Feminino,**/**/****,$7319.09
"**,**,France",Masculino,**/**/****,$7733.10
"**,**,**",Feminino,**/**/****,$7157.05
"**,**,**",*,**/**/****,$4000.92
"**,**,**",Feminino,**/**/****,$2071.57
"**,**,**",Masculino,**/**/****,$3717.17
"**,**,Canada",*,**/**/****,$4511.71
"**,**,United States",Feminino,**/**/****,$1329.70
"**,**,France",*,**/**/****,$5475.66
"**,**,Sweden",*,**/**/****,$6059.58
"**,**,United States",*,**/**/****,$4241.71
"**,**,Portugal",Masculino,**/**/****,$6417.75
"**,**,Canada",*,**/**/****,$979.70
"**,**,**",Masculino,**/**/****,$3466.43
"**,**,Portugal",Masculino,**/**/****,$4964.31
"**,**,**",*,**/**/****,$4959.20
"**,**,**",*,**/**/****,$7665.45
"**,**,**",Feminino,**/**/****,$1280.62
"**,**,Canada",*,**/**/****,$5469.92
"**,**,**",Feminino,**/**/****,$3435.34
"**,**,**",Feminino,**/**/****,$7753.83
"**,**,**",Masculino,**/**/****,$4501.34
"**,**,Portugal",Feminino,**/**/****,$4728.31
"**,**,**",Masculino,**/**/****,$2627.52
"**,**,**",*,**/**/****,$7166.43
"**,**,**",*,**/**/****,$4105.04
"**,**,Portugal",Masculino,**/**/****,$3863.39
"**,**,Sweden",*,**/**/****,$2969.04
"**,**,Canada",Masculino,**/**/****,$4910.20
"**,**,**",Masculino,**/**/****,$1583.21
"**,**,Sweden",Feminino,**/**/****,$4382.96
"**,**,Portugal",Feminino,**/**/****,$5283.42
"**,**,United States",Feminino,**/**/****,$3112.29
"**,**,**",*,**/**/****,$3989.06
"**,**,**",Feminino,**/**/****,$3800.57
"**,**,Sweden",*,**/**/****,$2096.28
"**,**,**",Masculino,**/**/****,$2454.18
"**,**,Portugal",Feminino,**/**/****,$6289.95
"**,**,**",*,**/**/****,$2867.51
"**,**,United States",Feminino,**/**/****,$1899.31
"**,**,**",Masculino,**/**/****,$6235.09
"**,**,**",Feminino,**/**/****,$5892.17
"**,**,Sweden",Feminino,**/**/****,$2007.00
"**,**,United States",Masculino,**/**/****,$7827.47
"**,**,Sweden",*,**/**/****,$4542.92
"**,**,Portugal",*,**/**/****,$5038.59
"**,**,**",Masculino,**/**/****,$5530.59
"**,**,**",*,**/**/****,$7279.48
"**,**,Sweden",Feminino,**/**/****,$6950.84
"**,**,**",*,**/**/****,$2329.05
"**,**,**",Feminino,**/**/****,$7760.58
"**,Stockholm,Sweden",Feminino,**/**/****,$4664.24
"**,**,**",*,**/**/****,$4300.13
"**,**,**",Masculino,**/**/****,$7825.33
"**,**,**",Masculino,**/**/****,$1305.29
"**,**,Portugal",Feminino,**/**/****,$2060.75
"**,**,Canada",*,**/**/****,$3613.73
"**,**,Portugal",Masculino,**/**/****,$4919.65
"**,**,**",Feminino,**/**/****,$7035.04
"**,**,Portugal",*,**/**/****,$5919.34
"**,**,**",Feminino,**/**/****,$2367.97
"**,**,Canada",Masculino,**/**/****,$6593.84
"**,**,**",Feminino,**/**/****,$2854.38
"**,**,**",*,**/**/****,$2775.31
"**,**,**",Feminino,**/**/****,$1165.10
"**,**,United States",Feminino,**/**/****,$7511.52
"**,**,**",Masculino,**/**/****,$4531.43
"**,**,**",*,**/**/****,$6630.49
"**,**,Portugal",*,**/**/****,$5268.85
"**,**,**",*,**/**/****,$1575.72
"**,**,**",*,**/**/****,$4663.87
"**,**,**",*,**/**/****,$5953.02
"**,**,**",Feminino,**/**/****,$5399.22
"**,**,**",*,**/**/****,$1452.90
"**,**,Canada",*,**/**/****,$3401.73
"**,**,**",*,**/**/****,$1657.74
"**,**,**",Masculino,**/**/****,$3520.57
"**,**,United States",Feminino,**/**/****,$5750.62
"**,**,**",Masculino,**/**/****,$4263.66
"**,**,Portugal",*,**/**/****,$6639.31
"**,**,Portugal",Masculino,**/**/****,$6549.93
"**,**,**",Masculino,**/**/****,$7082.80
"**,**,France",*,**/**/****,$1934.60
"**,**,**",*,**/**/****,$3875.41
"**,**,Canada",Masculino,**/**/****,$6095.84
"**,**,**",Feminino,**/**/****,$2465.50
"**,**,**",Feminino,**/**/****,$4776.95
"**,**,**",Feminino,**/**/****,$7467.66
"**,**,**",Feminino,**/**/****,$1693.13
"**,**,**",Masculino,**/**/****,$7063.28
"**,**,**",Feminino,**/**/****,$6827.27
"**,**,**",*,**/**/****,$1342.37
"**,**,Sweden",*,**/**/****,$962.08
"**,**,France",Feminino,**/**/****,$3201.59
"**,**,**",*,**/**/****,$5116.30
"**,**,**",*,**/**/****,$7145.67
"**,**,**",Masculino,**/**/****,$7816.91
"**,**,**",Masculino,**/**/****,$6068.22
"**,**,**",*,**/**/****,$2843.99
"**,**,**",Feminino,**/**/****,$3375.21
"**,**,**",Feminino,**/**/****,$5080.95
"**,**,**",Masculino,**/**/****,$5453.13
"**,**,**",*,**/**/****,$3191.09
"**,**,United States",Feminino,**/**/****,$4924.11
"**,**,**",Feminino,**/**/****,$1611.63
"**,**,**",Feminino,**/**/****,$1350.28
"**,**,Mexico",Feminino,**/**/****,$6285.72
"**,**,Portugal",Feminino,**/**/****,$6594.48
"**,**,Sweden",Feminino,**/**/****,$7278.18
"**,**,**",Feminino,**/**/****,$5730.25
"**,**,France",Feminino,**/**/****,$5763.40
"**,**,**",*,**/**/****,$7199.46
"**,**,Sweden",*,**/**/****,$1611.42
"**,**,**",Masculino,**/**/****,$4631.52
"**,**,United States",Masculino,**/**/****,$6841.99
"**,**,France",Masculino,**/**/****,$5216.68
"**,**,**",Masculino,**/**/****,$4912.45
"**,**,Portugal",*,**/**/****,$3783.40
"**,**,**",Masculino,**/**/****,$5790.08
"**,**,United States",Feminino,**/**/****,$2622.47
"**,**,United States",Masculino,**/**/****,$4095.50
"**,**,**",Feminino,**/**/****,$7795.42
"**,**,**",Masculino,**/**/****,$2321.79
"**,**,Portugal",*,**/**/****,$5532.48
"**,**,**",Masculino,**/**/1994,$7857.47
"**,**,**",Masculino,**/**/****,$1534.82
"**,**,**",Feminino,**/**/****,$5428.38
"**,**,France",*,**/**/****,$2902.49
"**,**,**",Feminino,**/**/****,$5563.62
"**,**,**",Feminino,**/**/****,$7049.85
"**,**,France",Masculino,**/**/****,$1020.66
"**,**,**",Feminino,**/**/****,$4450.49
"**,**,**",Masculino,**/**/****,$2851.56
"**,**,**",Feminino,**/**/****,$3769.13
"**,**,France",Feminino,**/**/****,$5410.56
"**,**,**",Feminino,**/**/****,$4161.69
"**,**,**",Feminino,**/**/****,$7274.50
"**,**,**",Feminino,**/**/****,$3435.26
"**,**,United States",Masculino,**/**/****,$5366.98
"**,**,**",Feminino,**/**/****,$3006.83
"**,**,**",Masculino,**/**/****,$3362.11
"**,**,**",Masculino,**/**/****,$3349.35
"**,**,Sweden",*,**/**/****,$1322.83
"**,**,**",Masculino,**/**/****,$6881.36
"**,**,**",*,**/**/****,$5249.08
"**,**,United States",Feminino,**/**/****,$3041.78
"**,**,**",Masculino,**/**/****,$3109.94
"**,**,**",Masculino,**/**/****,$4354.51
"**,**,Portugal",Feminino,**/**/****,$2849.06
"**,Setúbal,Portugal",Masculino,**/**/****,$2661.36
"**,**,Sweden",Feminino,**/**/****,$1145.67
"**,**,**",Masculino,**/**/****,$3407.45
"**,**,France",Feminino,**/**/****,$6940.06
"**,**,Portugal",Feminino,**/**/****,$7588.24
"**,**,Portugal",*,**/**/****,$6118.17
"**,**,Portugal",*,**/**/****,$1858.90
"**,**,**",Feminino,**/**/****,$3480.31
"**,**,Portugal",Masculino,**/**/****,$2106.68
"**,**,Portugal",*,**/**/****,$5964.41
"**,**,France",Feminino,**/**/****,$3747.55
"**,**,Portugal",Masculino,**/**/****,$6067.37
"**,**,Portugal",*,**/**/****,$2582.92
"**,**,Sweden",*,**/**/****,$2746.65
"**,**,**",Feminino,**/**/****,$4938.67
"**,**,Sweden",Feminino,**/**/****,$2943.14
"**,**,**",Masculino,**/**/****,$2946.37
"**,**,France",*,**/**/****,$4400.91
"**,**,Portugal",*,**/**/****,$6267.86
"**,**,Portugal",Feminino,**/**/****,$3639.38
"**,**,Sweden",Feminino,**/**/****,$3014.90
"**,**,**",Feminino,**/**/****,$4468.31
"**,**,**",Masculino,**/**/****,$1191.22
"**,**,Sweden",Feminino,**/**/****,$6563.49
"**,**,**",Feminino,**/**/****,$6869.03
"**,**,Mexico",Feminino,**/**/****,$3667.75
"**,**,Sweden",*,**/**/****,$1455.74
"**,**,Portugal",Masculino,**/**/****,$4461.88
"**,**,**",*,**/**/****,$7503.54
"**,**,Canada",*,**/**/****,$4675.13
"**,**,France",Masculino,**/**/****,$6769.72
"**,**,Portugal",Feminino,**/**/****,$6191.96
"**,**,United States",*,**/**/****,$7700.50
"**,**,**",Masculino,**/**/****,$3988.74
"**,**,**",Masculino,**/**/****,$6293.42
"**,**,United States",*,**/**/****,$3358.51
"**,**,United States",*,**/**/****,$5116.24
"**,**,France",Feminino,**/**/****,$1242.05
"**,**,**",Feminino,**/**/****,$3556.11
"**,**,France",Feminino,**/**/****,$2772.86
"**,**,**",Masculino,**/**/****,$6436.46
"**,**,France",Feminino,**/**/****,$976.45
"**,**,**",*,**/**/****,$7184.92
"**,**,Sweden",Feminino,**/**/****,$4576.59
"**,**,**",*,**/**/****,$7303.77
"**,**,**",Feminino,**/**/****,$5891.65
"**,**,**",Feminino,**/**/****,$1126.55
"**,**,**",Feminino,**/**/****,$3993.28
"**,**,Portugal",*,**/**/****,$1610.27
"**,**,**",Feminino,**/**/****,$1095.44
"**,**,**",Feminino,**/**/****,$1320.94
"**,**,France",Feminino,**/**/****,$6183.10
"**,**,France",Feminino,**/**/****,$2565.78
"**,**,**",Masculino,**/**/****,$6856.56
"**,**,France",Masculino,**/**/****,$1174.30
"**,**,**",Feminino,**/**/****,$3201.71
"**,**,**",*,**/**/****,$2344.10
"**,**,Sweden",Feminino,**/**/****,$7478.53
"**,**,**",Feminino,**/**/****,$7060.60
"**,**,Portugal",Feminino,**/**/****,$948.41
"**,**,**",*,**/**/****,$4491.03
"**,**,Portugal",Masculino,**/**/****,$5108.35
"**,**,France",*,**/**/****,$6674.63
"**,**,**",Masculino,**/**/****,$1697.67
"**,**,United States",Feminino,**/**/****,$6742.63
"**,**,United States",*,**/**/****,$2795.69
"**,**,**",*,**/**/****,$2458.05
"**,**,Portugal",Feminino,**/**/****,$7649.68
"**,**,Portugal",*,**/**/****,$7296.43
"**,**,Portugal",Masculino,**/**/****,$2142.15
"**,**,Canada",Feminino,**/**/****,$4234.16
"**,**,Portugal",Feminino,**/**/****,$7233.37
"**,**,**",Feminino,**/**/****,$1684.26
"**,**,Portugal",Feminino,**/**/****,$1426.01
"**,**,**",Masculino,**/**/****,$1059.41
"**,**,France",*,**/**/****,$7519.69
"**,**,United States",Masculino,**/**/****,$5721.70
"**,**,France",Feminino,**/**/****,$6410.80
"**,**,France",Feminino,**/**/****,$5823.97
"**,**,Sweden",*,**/**/****,$2881.34
"**,**,France",Feminino,**/**/****,$2918.64
"**,**,**",Masculino,**/**/****,$2208.72
"**,Stockholm,Sweden",Feminino,**/**/****,$5057.22
"**,Braga,Portugal",Feminino,**/**/****,$2309.35
"**,**,Portugal",Feminino,**/**/****,$6172.13
"**,**,**",Feminino,**/**/****,$5796.92
"**,**,**",Masculino,**/**/****,$1399.34
"**,**,**",Feminino,**/**/****,$2981.49
"**,**,**",Masculino,**/**/****,$5937.25
"**,**,**",Masculino,**/**/****,$4370.17
"**,**,**",Feminino,**/**/****,$7942.98
"**,**,**",Masculino,**/**/****,$7924.89
"**,**,Sweden",Masculino,**/**/****,$6578.25
"**,**,**",Feminino,**/**/****,$4518.41
"**,**,Canada",*,**/**/****,$7689.46
"**,**,Portugal",Masculino,**/**/****,$4590.54
"**,**,**",Feminino,**/**/****,$7741.81
"**,**,Portugal",Feminino,**/**/****,$4126.56
"**,**,Portugal",Masculino,**/**/****,$2932.96
"**,**,**",Masculino,**/**/****,$7814.46
"**,**,**",Feminino,**/**/****,$3688.22
"**,**,**",*,**/**/****,$959.80
"**,**,**",Masculino,**/**/****,$7600.54
"**,Stockholm,Sweden",Feminino,**/**/****,$2909.91
"**,**,United States",Feminino,**/**/****,$1041.43
"**,**,**",Feminino,**/**/****,$4930.40
"**,**,**",Feminino,**/**/****,$4324.50
"**,**,**",Masculino,**/**/****,$6223.79
"**,**,**",Masculino,**/**/1994,$1809.17
"**,**,Portugal",*,**/**/****,$3090.80
"**,**,**",Feminino,**/**/****,$5447.94
"**,**,Sweden",*,**/**/****,$5477.25
"**,**,United States",Masculino,**/**/****,$2946.19
"**,**,Portugal",Masculino,**/**/****,$7454.96
"**,**,**",Feminino,**/**/****,$7801.31
"**,**,Portugal",Feminino,**/**/****,$4764.60
"**,**,Sweden",Feminino,**/**/****,$5373.09
"**,**,United States",Feminino,**/**/****,$1288.62
"**,**,Mexico",Feminino,**/**/****,$6825.59
"**,**,**",Feminino,**/**/****,$7130.79
"**,**,Canada",Masculino,**/**/****,$1653.38
"**,**,**",Feminino,**/**/****,$7525.73
"**,**,United States",Masculino,**/**/****,$5002.09
"**,**,**",Feminino,**/**/****,$886.98
"**,**,**",Masculino,**/**/1994,$2437.75
"**,**,Portugal",*,**/**/****,$3392.24
"**,**,United States",Masculino,**/**/****,$5910.48
"**,**,France",Feminino,**/**/****,$4783.94
"**,**,**",Feminino,**/**/****,$4199.58
"**,**,**",Feminino,**/**/****,$5268.12
"**,**,**",Masculino,**/**/****,$4632.50
"**,**,Canada",Feminino,**/**/****,$6657.46
"**,**,Canada",Feminino,**/**/****,$5427.64
"**,**,**",Masculino,**/**/****,$3511.27
"**,**,**",*,**/**/****,$7048.06
"**,**,**",*,**/**/****,$1374.14
"**,**,Portugal",*,**/**/****,$5999.29
"**,**,United States",*,**/**/****,$2781.81
"**,**,**",Feminino,**/**/****,$5823.77
"**,**,France",Feminino,**/**/****,$1622.32
"**,**,**",Feminino,**/**/****,$6651.08
"**,**,**",*,**/**/****,$3502.45
"**,**,France",Feminino,**/**/****,$7410.13
"**,**,Sweden",Masculino,**/**/****,$3218.09
"**,**,Sweden",*,**/**/****,$7134.93
"**,**,**",Masculino,**/**/****,$7783.26
"**,**,Canada",*,**/**/****,$3918.00
"**,**,**",Masculino,**/**/****,$6363.88
"**,**,Portugal",*,**/**/****,$7453.73
"**,**,Sweden",*,**/**/****,$1900.48
"**,**,Portugal",Feminino,**/**/****,$5866.61
"**,**,**",Masculino,**/**/****,$6954.30
"**,**,**",Masculino,**/**/****,$6760.76
"**,**,**",Feminino,**/**/****,$3909.93
"**,**,**",Masculino,**/**/****,$3533.25
"**,**,Sweden",Feminino,**/**/****,$1370.53
"**,**,**",*,**/**/****,$1715.64
"**,**,France",*,**/**/****,$3645.69
"**,**,France",Feminino,**/**/****,$6872.51
"**,**,France",*,**/**/****,$1355.25
"**,**,France",Feminino,**/**/****,$6428.54
"**,**,France",Feminino,**/**/****,$5368.06
"**,**,Canada",Feminino,**/**/****,$3976.35
"**,**,Canada",*,**/**/****,$1403.76
"**,**,Sweden",*,**/**/****,$6416.83
"**,**,Portugal",*,**/**/****,$4713.83
"**,**,**",Masculino,**/**/****,$6983.95
"**,**,**",Masculino,**/**/****,$2435.84
"**,**,Canada",Masculino,**/**/****,$3609.17
"**,**,France",Feminino,**/**/****,$6860.11
"**,**,**",*,**/**/****,$6509.58
"**,**,United States",Masculino,**/**/****,$6749.17
"**,**,Portugal",*,**/**/****,$1367.51
"**,**,Portugal",*,**/**/****,$1653.56
"**,**,**",Feminino,**/**/****,$3625.99
"**,**,**",Masculino,**/**/****,$1466.87
"**,**,**",Masculino,**/**/1994,$2666.96
"**,**,**",Masculino,**/**/****,$5747.87
"**,**,Portugal",*,**/**/****,$5189.45
"**,**,United States",Feminino,**/**/****,$7694.59
"**,**,**",Masculino,**/**/****,$4477.79
"**,**,**",Feminino,**/**/****,$4052.82
"**,**,Canada",*,**/**/****,$1310.34
"**,**,Portugal",Feminino,**/**/****,$2029.76
"**,**,**",Masculino,**/**/****,$6749.86
"**,**,France",*,**/**/****,$3635.14
"**,**,**",Masculino,**/**/****,$7718.68
"**,**,**",Masculino,**/**/****,$5731.07
"**,**,**",Feminino,**/**/****,$3572.00
"**,**,**",Masculino,**/**/****,$3078.97
"**,**,France",Feminino,**/**/****,$3478.88
"**,**,**",Feminino,**/**/****,$2667.16
"**,**,**",Feminino,**/**/****,$7201.47
"**,**,United States",Feminino,**/**/****,$2926.75
"**,**,Canada",*,**/**/****,$7697.11
"**,**,**",Feminino,**/**/****,$6431.42
"**,**,United States",Feminino,**/**/****,$1509.69
"**,**,United States",Masculino,**/**/****,$2476.57
"**,**,**",Masculino,**/**/1994,$5726.93
"**,**,**",Masculino,**/**/****,$5169.65
"**,**,Portugal",*,**/**/****,$7373.11
"**,**,Sweden",*,**/**/****,$1755.24
"**,**,**",Masculino,**/**/****,$1188.11
"**,**,**",Feminino,**/**/****,$6230.34
"**,**,Mexico",Feminino,**/**/****,$5229.44
"**,**,France",*,**/**/****,$1824.90
"**,**,France",*,**/**/****,$1348.85
"**,**,**",Masculino,**/**/****,$5264.43
"**,**,**",Feminino,**/**/****,$6190.47
"**,**,France",Feminino,**/**/****,$6649.25
"**,**,**",Feminino,**/**/****,$3445.67
"**,**,**",Feminino,**/**/****,$2407.39
"**,**,**",Feminino,**/**/****,$3334.96
"**,**,**",Masculino,**/**/****,$996.76
"**,**,France",Feminino,**/**/****,$1907.75
"**,**,France",Feminino,**/**/****,$7213.98
"**,**,**",Feminino,**/**/****,$3082.24
"**,**,**",Masculino,**/**/****,$4826.17
"**,Stockholm,Sweden",Feminino,**/**/****,$3358.30
